claim_id,policy_id,customer_id,claim_date,claim_type,claim_amount,settlement_amount,status,fraud_flag,days_to_settle
CLM300000,POL209732,CUST100460,2024-04-28,Natural Calamity,28800.0,21600.0,Settled,1,48.0
CLM300001,POL200133,CUST104175,2025-07-29,Third-Party Liability,39500.0,23300.0,Settled,0,5.0
CLM300002,POL207319,CUST101119,2022-08-14,Theft,53200.0,,Pending,0,
CLM300003,POL209956,CUST103199,2023-11-14,Death,76200.0,61200.0,Settled,0,25.0
CLM300004,POL206555,CUST100020,2025-04-06,Accident,8100.0,,Pending,0,
CLM300005,POL209664,CUST102999,2022-07-17,Theft,113100.0,85700.0,Settled,0,50.0
CLM300006,POL207163,CUST100083,2025-03-16,Theft,18400.0,10700.0,Settled,0,69.0
CLM300007,POL208052,CUST104187,2022-09-11,Own Damage,99400.0,,Pending,0,
CLM300008,POL207392,CUST100347,2026-01-10,Medical,16500.0,13700.0,Settled,0,66.0
CLM300009,POL200924,CUST104031,2022-05-17,Theft,21400.0,20400.0,Settled,0,20.0
CLM300010,POL205559,CUST101368,2025-02-04,Theft,73200.0,68000.0,Settled,0,25.0
CLM300011,POL200655,CUST103092,2025-10-19,Theft,65500.0,42200.0,Settled,0,27.0
CLM300012,POL206945,CUST103216,2024-08-17,Natural Calamity,171300.0,127600.0,Settled,0,52.0
CLM300013,POL202685,CUST104956,2024-01-07,Accident,36500.0,27300.0,Settled,0,34.0
CLM300014,POL205295,CUST104578,2024-05-02,Natural Calamity,28900.0,,Rejected,0,
CLM300015,POL209069,CUST100041,2022-08-22,Own Damage,18400.0,16600.0,Settled,0,42.0
CLM300016,POL205279,CUST104630,2023-09-28,Accident,45500.0,33200.0,Settled,0,15.0
CLM300017,POL201788,CUST100734,2024-09-10,Accident,54900.0,,Pending,1,
CLM300018,POL208965,CUST102446,2021-12-24,Natural Calamity,7300.0,,Rejected,1,
CLM300019,POL208196,CUST100479,2023-07-28,Own Damage,36400.0,31600.0,Settled,0,51.0
CLM300020,POL200259,CUST100655,2024-07-02,Death,126800.0,94200.0,Settled,0,6.0
CLM300021,POL204927,CUST102806,2025-06-12,Medical,60200.0,,Rejected,0,
CLM300022,POL209207,CUST100243,2024-03-12,Death,172100.0,130400.0,Settled,0,6.0
CLM300023,POL205319,CUST103372,2022-08-29,Death,18200.0,12000.0,Settled,0,74.0
CLM300024,POL208986,CUST101700,2023-07-12,Accident,71600.0,59300.0,Settled,0,75.0
CLM300025,POL203311,CUST101320,2022-11-05,Fire,38900.0,,Pending,0,
CLM300026,POL207219,CUST101547,2021-11-30,Natural Calamity,33700.0,33000.0,Settled,0,61.0
CLM300027,POL206367,CUST101963,2023-02-11,Natural Calamity,26300.0,24100.0,Settled,0,15.0
CLM300028,POL208369,CUST101930,2022-12-26,Theft,44900.0,41900.0,Settled,0,19.0
CLM300029,POL206967,CUST100042,2023-12-21,Theft,63100.0,38900.0,Settled,0,71.0
CLM300030,POL200393,CUST100417,2025-09-02,Accident,26100.0,17900.0,Settled,0,86.0
