customer_id,age,gender,location,occupation,income,credit_score,kyc_status
CUST100000,25,Male,Delhi,Salaried - Private,180000.0,540,Verified
CUST100001,58,Female,Ahmedabad,Retired,617000.0,783,Verified
CUST100002,53,Female,Jaipur,Salaried - Government,455000.0,877,Incomplete
CUST100003,42,Female,Bhopal,Retired,953000.0,363,Incomplete
CUST100004,42,Male,Jaipur,Professional,546000.0,428,Verified
CUST100005,63,Male,Bengaluru,Salaried - Government,684000.0,764,Incomplete
CUST100006,25,Female,Pune,Business Owner,697000.0,404,Verified
CUST100007,55,Female,Kolkata,Salaried - Private,878000.0,598,Verified
CUST100008,30,Male,Coimbatore,Retired,662000.0,866,Verified
CUST100009,25,Female,Ahmedabad,Self-Employed,422000.0,885,Verified
CUST100010,46,Male,Lucknow,Business Owner,939000.0,869,Verified
CUST100011,68,Male,Patna,Salaried - Government,1380000.0,380,Verified
CUST100012,57,Male,Pune,Self-Employed,958000.0,389,Verified
CUST100013,58,Male,Coimbatore,Business Owner,626000.0,405,Pending
CUST100014,56,Male,Bhopal,Salaried - Government,845000.0,761,Verified
CUST100015,59,Female,Nagpur,Student,180000.0,407,Verified
CUST100016,46,Male,Patna,Self-Employed,837000.0,557,Verified
CUST100017,27,Male,Lucknow,Salaried - Government,720000.0,791,Verified
CUST100018,62,Male,Mumbai,Professional,480000.0,595,Verified
CUST100019,43,Male,Jaipur,Self-Employed,562000.0,864,Verified
CUST100020,45,Male,Delhi,Business Owner,715000.0,599,Verified
CUST100021,39,Male,Lucknow,Retired,1347000.0,527,Incomplete
CUST100022,29,Male,Bhopal,Salaried - Private,1391000.0,881,Verified
CUST100023,66,Female,Jaipur,Professional,482000.0,628,Verified
CUST100024,59,Female,Hyderabad,Salaried - Private,667000.0,410,Pending
CUST100025,52,Male,Mumbai,Salaried - Private,678000.0,680,Pending
CUST100026,40,Female,Bhopal,Salaried - Private,1264000.0,763,Verified
CUST100027,61,Female,Bhopal,Salaried - Government,,803,Incomplete
CUST100028,47,Female,Ahmedabad,Self-Employed,942000.0,303,Verified
CUST100029,42,Female,Bhopal,Student,1141000.0,365,Verified
CUST100030,43,Female,Patna,Student,,677,Verified
CUST100031,32,Female,Ahmedabad,Salaried - Private,1514000.0,745,Verified
CUST100032,25,Female,Mumbai,Student,899000.0,691,Verified
CUST100033,48,Male,Indore,Retired,515000.0,529,Verified
CUST100034,64,Female,Ahmedabad,Professional,797000.0,752,Verified
CUST100035,24,Female,Bhopal,Homemaker,1454000.0,647,Pending
CUST100036,63,Female,Indore,Business Owner,709000.0,855,Verified
CUST100037,61,Male,Pune,Self-Employed,1327000.0,520,Verified
CUST100038,34,Male,Lucknow,Professional,619000.0,752,Verified
CUST100039,51,Male,Mumbai,Retired,555000.0,386,Pending
CUST100040,29,Male,Indore,Retired,1197000.0,739,Verified
CUST100041,58,Male,Mumbai,Salaried - Government,507000.0,738,Pending
CUST100042,55,Male,Jaipur,Student,1270000.0,452,Verified
CUST100043,38,Male,Pune,Self-Employed,1058000.0,336,Verified
CUST100044,24,Male,Mumbai,Homemaker,507000.0,895,Pending
CUST100045,68,Male,Kolkata,Self-Employed,868000.0,345,Verified
CUST100046,42,Female,Coimbatore,Salaried - Private,653000.0,581,Verified
CUST100047,64,Male,Bengaluru,Student,1057000.0,300,Verified
CUST100048,54,Male,Hyderabad,Professional,1750000.0,550,Pending
CUST100049,59,Male,Bengaluru,Salaried - Government,733000.0,792,Verified
CUST100050,58,Male,Delhi,Salaried - Private,1140000.0,601,Verified
CUST100051,30,Male,Chennai,Salaried - Government,911000.0,443,Verified
CUST100052,38,Female,Jaipur,Salaried - Government,911000.0,536,Verified
CUST100053,43,Female,Patna,Student,826000.0,355,Verified
CUST100054,45,Male,Bhopal,Salaried - Government,514000.0,656,Verified
CUST100055,23,Female,Patna,Salaried - Government,1051000.0,302,Verified
