policy_id,customer_id,policy_type,premium,sum_assured,tenure_months,start_date,end_date,channel,product_name
POL200000,CUST104111,Motor,26800.0,1097000.0,12,2023-02-26,2024-02-21,Agent,Motor Third-Party
POL200001,CUST104674,Travel,9100.0,322000.0,12,2021-02-20,2022-02-15,Agent,Domestic Travel
POL200002,CUST100673,Motor,14000.0,385000.0,24,2024-11-19,2026-11-09,Broker,Motor Comprehensive
POL200003,CUST104518,Motor,14900.0,424000.0,12,2024-11-25,2025-11-20,Online,Motor Own-Damage
POL200004,CUST102414,Motor,32100.0,976000.0,12,2023-03-10,2024-03-04,Bancassurance,Motor Third-Party
POL200005,CUST100710,Motor,12800.0,293000.0,12,2021-05-12,2022-05-07,Online,Motor Comprehensive
POL200006,CUST102165,Motor,9000.0,421000.0,6,2024-04-17,2024-10-14,Agent,Motor Third-Party
POL200007,CUST100279,Life,27200.0,891000.0,60,2024-05-06,2029-04-10,Online,Endowment Plan
POL200008,CUST102703,Motor,9400.0,445000.0,12,2022-10-05,2023-09-30,Agent,Motor Comprehensive
POL200009,CUST102361,Property,22000.0,907000.0,12,2021-06-07,2022-06-02,Online,Property All-Risk
POL200010,CUST101955,Health,32700.0,825000.0,12,2024-10-30,2025-10-25,Agent,Individual Health
POL200011,CUST102221,Life,16600.0,489000.0,12,2024-09-05,2025-08-31,Online,Endowment Plan
POL200012,CUST103102,Life,11500.0,651000.0,12,2022-09-11,2023-09-06,Online,Endowment Plan
POL200013,CUST104133,Motor,15500.0,527000.0,12,2022-08-09,2023-08-04,Online,Motor Own-Damage
POL200014,CUST101962,Motor,41300.0,830000.0,12,2022-08-05,2023-07-31,Online,Motor Own-Damage
POL200015,CUST100084,Property,16000.0,703000.0,60,2023-03-20,2028-02-22,Online,Home Shield
POL200016,CUST102788,Life,23200.0,705000.0,12,2023-11-28,2024-11-22,Direct,ULIP
POL200017,CUST104723,Motor,13200.0,475000.0,12,2023-01-11,2024-01-06,Bancassurance,Motor Comprehensive
POL200018,CUST101974,Life,5500.0,134000.0,24,2023-04-02,2025-03-22,Online,Term Life
POL200019,CUST100613,Health,27200.0,424000.0,12,2023-04-18,2024-04-12,Agent,Individual Health
POL200020,CUST104508,Motor,13200.0,545000.0,12,2022-03-24,2023-03-19,Direct,Motor Third-Party
POL200021,CUST102096,Motor,29000.0,1002000.0,12,2023-06-21,2024-06-15,Broker,Motor Third-Party
POL200022,CUST101867,Life,22600.0,751000.0,24,2021-01-02,2022-12-23,Agent,Term Life
POL200023,CUST101476,Health,19500.0,1102000.0,12,2022-07-23,2023-07-18,Broker,Individual Health
POL200024,CUST103654,Health,34100.0,912000.0,12,2021-06-30,2022-06-25,Online,Individual Health
POL200025,CUST100728,Motor,13300.0,550000.0,12,2022-04-10,2023-04-05,Bancassurance,Motor Comprehensive
POL200026,CUST103068,Motor,26800.0,1399000.0,12,2022-01-15,2023-01-10,Agent,Motor Third-Party
POL200027,CUST101743,Motor,16000.0,568000.0,12,2021-01-07,2022-01-02,Online,Motor Comprehensive
POL200028,CUST101927,Health,12600.0,616000.0,12,2021-06-06,2022-06-01,Bancassurance,Critical Illness
POL200029,CUST101078,Property,21300.0,856000.0,60,2024-06-09,2029-05-14,Broker,Property All-Risk
POL200030,CUST104038,Property,11700.0,360000.0,24,2023-01-26,2025-01-15,Bancassurance,Fire & Allied Perils
POL200031,CUST102267,Motor,13600.0,759000.0,12,2023-11-05,2024-10-30,Bancassurance,Motor Comprehensive
POL200032,CUST104637,Motor,17800.0,569000.0,24,2022-05-09,2024-04-28,Bancassurance,Motor Own-Damage
POL200033,CUST104139,Motor,33100.0,1180000.0,12,2021-04-07,2022-04-02,Agent,Motor Third-Party
POL200034,CUST103802,Property,35100.0,1550000.0,12,2023-10-19,2024-10-13,Bancassurance,Fire & Allied Perils
POL200035,CUST102251,Health,7700.0,321000.0,12,2022-09-20,2023-09-15,Direct,Critical Illness
POL200036,CUST104742,Property,12200.0,464000.0,12,2022-11-24,2023-11-19,Agent,Fire & Allied Perils
POL200037,CUST102924,Health,24200.0,1114000.0,12,2021-06-04,2022-05-30,Online,Critical Illness
POL200038,CUST102181,Life,11200.0,518000.0,24,2021-11-04,2023-10-25,Bancassurance,Term Life
POL200039,CUST101737,Life,12100.0,470000.0,12,2023-05-01,2024-04-25,Agent,Endowment Plan
POL200040,CUST104568,Life,15600.0,589000.0,12,2022-10-04,2023-09-29,Online,Term Life
POL200041,CUST101271,Health,23600.0,529000.0,12,2023-06-06,2024-05-31,Bancassurance,Individual Health
POL200042,CUST104381,Motor,19200.0,902000.0,60,2023-11-30,2028-11-03,Direct,Motor Own-Damage
POL200043,CUST101143,Health,35300.0,2104000.0,6,2023-01-03,2023-07-02,Bancassurance,Individual Health
POL200044,CUST103811,Travel,17700.0,497000.0,24,2023-01-30,2025-01-19,Bancassurance,International Travel
POL200045,CUST101410,Motor,19400.0,466000.0,12,2022-11-30,2023-11-25,Direct,Motor Own-Damage
POL200046,CUST104176,Life,16000.0,916000.0,12,2022-09-13,2023-09-08,Agent,Term Life
POL200047,CUST104178,Travel,20700.0,693000.0,12,2023-08-13,2024-08-07,Direct,International Travel
POL200048,CUST103650,Health,12700.0,586000.0,6,2022-06-09,2022-12-06,Online,Individual Health
POL200049,CUST104960,Health,21400.0,775000.0,24,2022-09-02,2024-08-22,Bancassurance,Individual Health
POL200050,CUST102561,Motor,11000.0,444000.0,24,2023-10-09,2025-09-28,Bancassurance,Motor Comprehensive
POL200051,CUST104193,Life,31500.0,946000.0,12,2024-08-06,2025-08-01,Agent,Term Life
POL200052,CUST102762,Marine,16600.0,825000.0,12,2023-11-10,2024-11-04,Broker,Marine Cargo
POL200053,CUST100193,Travel,39000.0,1470000.0,12,2023-05-15,2024-05-09,Online,International Travel
POL200054,CUST102088,Motor,31200.0,1145000.0,12,2023-07-08,2024-07-02,Bancassurance,Motor Own-Damage
POL200055,CUST100162,Marine,19700.0,793000.0,12,2021-06-23,2022-06-18,Online,Marine Cargo
POL200056,CUST103321,Health,24800.0,1418000.0,6,2023-04-12,2023-10-09,Broker,Family Floater
POL200057,CUST100762,Life,21600.0,1119000.0,12,2023-06-06,2024-05-31,Agent,Endowment Plan
POL200058,CUST101623,Motor,7800.0,138000.0,12,2022-06-08,2023-06-03,Bancassurance,Motor Comprehensive
POL200059,CUST104357,Motor,19200.0,598000.0,12,2023-11-14,2024-11-08,Broker,Motor Own-Damage
POL200060,CUST103698,Life,18600.0,408000.0,12,2023-12-26,2024-12-20,Broker,ULIP
POL200061,CUST101680,Health,15900.0,891000.0,12,2024-10-04,2025-09-29,Online,Critical Illness
POL200062,CUST102525,Travel,22700.0,592000.0,24,2024-07-05,2026-06-25,Online,Domestic Travel
POL200063,CUST102905,Motor,19500.0,965000.0,12,2022-11-01,2023-10-27,Bancassurance,Motor Third-Party
POL200064,CUST101765,Property,20300.0,866000.0,24,2021-07-04,2023-06-24,Agent,Home Shield
POL200065,CUST103749,Health,37900.0,1877000.0,24,2021-09-06,2023-08-27,Online,Family Floater
POL200066,CUST100736,Motor,17800.0,803000.0,12,2024-09-05,2025-08-31,Online,Motor Third-Party
POL200067,CUST102132,Motor,27100.0,757000.0,12,2022-02-21,2023-02-16,Bancassurance,Motor Third-Party
POL200068,CUST101277,Life,16600.0,621000.0,24,2021-12-06,2023-11-26,Broker,ULIP
POL200069,CUST103395,Property,38300.0,872000.0,12,2023-05-11,2024-05-05,Agent,Home Shield
POL200070,CUST103201,Motor,24200.0,615000.0,12,2021-07-16,2022-07-11,Bancassurance,Motor Own-Damage
POL200071,CUST104035,Health,19700.0,406000.0,12,2021-04-28,2022-04-23,Online,Critical Illness
POL200072,CUST101849,Health,11800.0,642000.0,12,2023-09-01,2024-08-26,Broker,Critical Illness
POL200073,CUST101153,Life,38800.0,1081000.0,12,2021-06-10,2022-06-05,Agent,Term Life
POL200074,CUST100165,Life,30000.0,627000.0,12,2022-10-02,2023-09-27,Agent,Endowment Plan
POL200075,CUST104303,Property,11200.0,289000.0,12,2023-06-30,2024-06-24,Bancassurance,Fire & Allied Perils
POL200076,CUST101648,Motor,6400.0,172000.0,24,2024-12-01,2026-11-21,Online,Motor Own-Damage
POL200077,CUST103772,Motor,14700.0,303000.0,36,2022-04-21,2025-04-05,Agent,Motor Own-Damage
POL200078,CUST101831,Motor,9600.0,445000.0,24,2022-08-29,2024-08-18,Bancassurance,Motor Third-Party
POL200079,CUST101660,Travel,15700.0,706000.0,24,2023-01-03,2024-12-23,Agent,International Travel
POL200080,CUST101171,Health,26200.0,1088000.0,12,2023-08-14,2024-08-08,Broker,Individual Health
POL200081,CUST103906,Motor,29900.0,1618000.0,12,2021-10-28,2022-10-23,Agent,Motor Comprehensive
POL200082,CUST101431,Property,5900.0,103000.0,60,2021-08-06,2026-07-11,Agent,Home Shield
POL200083,CUST101481,Life,7500.0,317000.0,36,2023-11-08,2026-10-23,Bancassurance,Endowment Plan
POL200084,CUST103524,Health,9400.0,390000.0,24,2022-09-05,2024-08-25,Agent,Family Floater
POL200085,CUST102589,Motor,19000.0,898000.0,24,2022-12-30,2024-12-19,Direct,Motor Comprehensive
POL200086,CUST103731,Property,31000.0,919000.0,12,2023-09-22,2024-09-16,Online,Fire & Allied Perils
POL200087,CUST100517,Life,16600.0,567000.0,12,2022-10-31,2023-10-26,Online,Term Life
POL200088,CUST104794,Motor,5800.0,175000.0,12,2021-06-26,2022-06-21,Agent,Motor Own-Damage
POL200089,CUST101183,Motor,20400.0,664000.0,12,2022-07-15,2023-07-10,Agent,Motor Comprehensive
POL200090,CUST100590,Motor,13200.0,578000.0,12,2023-04-20,2024-04-14,Agent,Motor Third-Party
POL200091,CUST100546,Life,13300.0,354000.0,12,2023-05-28,2024-05-22,Agent,ULIP
POL200092,CUST101558,Motor,18900.0,1022000.0,36,2024-10-26,2027-10-11,Bancassurance,Motor Own-Damage
POL200093,CUST102117,Health,23200.0,1386000.0,12,2022-02-12,2023-02-07,Bancassurance,Critical Illness
POL200094,CUST100385,Health,29200.0,998000.0,12,2022-03-11,2023-03-06,Online,Family Floater
POL200095,CUST103112,Travel,31500.0,1877000.0,12,2024-03-05,2025-02-28,Bancassurance,International Travel
POL200096,CUST103066,Health,27100.0,994000.0,24,2023-05-30,2025-05-19,Direct,Family Floater
POL200097,CUST103885,Health,25400.0,404000.0,36,2021-10-05,2024-09-19,Bancassurance,Family Floater
POL200098,CUST100081,Health,7200.0,400000.0,24,2023-07-07,2025-06-26,Bancassurance,Critical Illness
POL200099,CUST100481,Life,24300.0,732000.0,12,2024-06-04,2025-05-30,Agent,Term Life
POL200100,CUST101026,Marine,15800.0,280000.0,12,2024-05-04,2025-04-29,Online,Marine Cargo
POL200101,CUST102190,Travel,31200.0,727000.0,6,2023-03-12,2023-09-08,Broker,Domestic Travel
POL200102,CUST102934,Health,12700.0,604000.0,12,2021-08-11,2022-08-06,Direct,Individual Health
POL200103,CUST101009,Health,15100.0,385000.0,24,2022-12-11,2024-11-30,Agent,Critical Illness
POL200104,CUST101793,Health,11700.0,562000.0,24,2023-11-10,2025-10-30,Agent,Family Floater
POL200105,CUST102567,Property,13000.0,681000.0,24,2024-03-12,2026-03-02,Direct,Home Shield
POL200106,CUST102721,Life,34800.0,1947000.0,24,2023-03-19,2025-03-08,Bancassurance,ULIP
POL200107,CUST102632,Health,12000.0,669000.0,12,2021-10-01,2022-09-26,Online,Family Floater
POL200108,CUST103201,Health,18000.0,416000.0,12,2023-03-07,2024-03-01,Broker,Family Floater
POL200109,CUST103778,Motor,12700.0,510000.0,12,2021-07-11,2022-07-06,Agent,Motor Comprehensive
POL200110,CUST104194,Life,18000.0,986000.0,60,2023-07-19,2028-06-22,Agent,ULIP
POL200111,CUST104826,Motor,20400.0,529000.0,36,2024-02-13,2027-01-28,Online,Motor Own-Damage
POL200112,CUST101964,Health,24100.0,1445000.0,36,2024-03-03,2027-02-16,Online,Family Floater
POL200113,CUST101640,Motor,17000.0,818000.0,24,2023-01-12,2025-01-01,Bancassurance,Motor Comprehensive
POL200114,CUST101394,Motor,36600.0,2087000.0,60,2023-11-15,2028-10-19,Direct,Motor Comprehensive
POL200115,CUST101750,Motor,6300.0,183000.0,12,2021-05-27,2022-05-22,Online,Motor Third-Party
POL200116,CUST102694,Life,11700.0,282000.0,12,2021-03-21,2022-03-16,Agent,ULIP
POL200117,CUST103020,Life,11400.0,658000.0,24,2021-07-19,2023-07-09,Agent,ULIP
